OBJECTID,DATE,TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_,CROSS_STRE,OFF_STREET,CONTRIBUTI,CONTRIBU_1,CONTRIBU_2,CONTRIBU_3,CONTRIBU_4,UNIQUE_KEY,VEHICLE_TY,VEHICLE__1,VEHICLE__2,VEHICLE__3,VEHICLE__4,incidence,IndexID,OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_Data,Shape_Leng,Shape_Area_1,OBJECTID_12,GEOID_1,B00001e1,B00001m1,B00002e1,B00002m1,OBJECTID_2,GEOID_12,B19001e1,B19001m1,B19001e2,B19001m2,B19001e3,B19001m3,B19001e4,B19001m4,B19001e5,B19001m5,B19001e6,B19001m6,B19001e7,B19001m7,B19001e8,B19001m8,B19001e9,B19001m9,B19001e10,B19001m10,B19001e11,B19001m11,B19001e12,B19001m12,B19001e13,B19001m13,B19001e14,B19001m14,B19001e15,B19001m15,B19001e16,B19001m16,B19001e17,B19001m17,SHAPE_Length,SHAPE_Area,Junction_Longitude,Junction_latitude,Dist_2_Parking
1,,,,,,,,,,,,,,,,,,,,,,,,1,36,47,5202,0,3.6047E+11,Block Group 0,G5030,S,0,440002,40.618244,-74.0463778,15000US360470052020,0.028408178,4.56936E-05,3815,15000US360470052020,54,-1,34,-1,3815,15000US360470052020,358,50,20,25,8,14,33,28,10,18,16,23,6,14,9,16,12,23,6,15,11,16,40,32,61,33,64,38,26,26,18,19,18,18,94.24777961,706.8583471,-74.0415955,40.6205101,821.3356934
2,,,,,,,,,,,,,,,,,,,,,,,,2,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471,-74.0414276,40.6219788,791.4301758
3,,,,,,,,,,,,,,,,,,,,,,,,3,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471,-74.0413055,40.6208649,790.2041626
4,,,,,,,,,,,,,,,,,,,,,,,,4,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0412598,40.6205406,792.4504395
5,,,,,,,,,,,,,,,,,,,,,,,,5,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0412598,40.6205406,792.4504395
6,,,,,,,,,,,,,,,,,,,,,,,,6,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0411606,40.6199913,798.2081299
7,,,,,,,,,,,,,,,,,,,,,,,,7,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0411758,40.6205444,785.3242188
8,,,,,,,,,,,,,,,,,,,,,,,,8,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471,-74.0412674,40.6220818,777.972229
9,,,,,,,,,,,,,,,,,,,,,,,,9,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0410843,40.6205559,777.7335205
10,,,,,,,,,,,,,,,,,,,,,,,,10,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0410843,40.6205559,777.7335205
11,,,,,,,,,,,,,,,,,,,,,,,,11,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,55,-1,33,-1,3807,15000US360470050001,385,73,8,14,0,11,0,11,33,38,7,12,7,12,35,42,0,11,0,11,31,39,37,38,58,50,63,60,13,15,33,22,60,49,94.24777961,706.8583471,-74.041481,40.6250534,866.222168
12,,,,,,,,,,,,,,,,,,,,,,,,12,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0410156,40.6201248,782.7538452
13,,,,,,,,,,,,,,,,,,,,,,,,13,36,47,5202,2,3.6047E+11,Block Group 2,G5030,S,83445,0,40.6188883,-74.0384036,15000US360470052022,0.0157697,8.88044E-06,3817,15000US360470052022,105,-1,62,-1,3817,15000US360470052022,736,100,62,45,20,23,46,49,8,13,29,41,12,13,0,11,8,12,66,54,135,91,80,48,83,48,53,38,0,11,39,32,95,44,94.24777961,706.8583471,-74.0407486,40.6181145,796.6955566
14,,,,,,,,,,,,,,,,,,,,,,,,14,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,55,-1,33,-1,3807,15000US360470050001,385,73,8,14,0,11,0,11,33,38,7,12,7,12,35,42,0,11,0,11,31,39,37,38,58,50,63,60,13,15,33,22,60,49,94.24777961,706.8583471,-74.0413208,40.6252136,860.9515381
15,,,,,,,,,,,,,,,,,,,,,,,,15,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471,-74.0408783,40.6205711,760.1766357
16,,,,,,,,,,,,,,,,,,,,,,,,16,36,47,5202,2,3.6047E+11,Block Group 2,G5030,S,83445,0,40.6188883,-74.0384036,15000US360470052022,0.0157697,8.88044E-06,3817,15000US360470052022,105,-1,62,-1,3817,15000US360470052022,736,100,62,45,20,23,46,49,8,13,29,41,12,13,0,11,8,12,66,54,135,91,80,48,83,48,53,38,0,11,39,32,95,44,94.24777961,706.8583471,-74.0406494,40.618351,796.5593262
17,,,,,,,,,,,,,,,,,,,,,,,,17,36,47,5400,1,3.6047E+11,Block Group 1,G5030,S,79806,0,40.6170658,-74.0382121,15000US360470054001,0.013588012,8.49287E-06,3824,15000US360470054001,163,-1,97,-1,3824,15000US360470054001,871,104,59,41,55,43,32,24,44,41,36,33,8,13,16,19,15,17,35,34,69,46,95,58,108,55,86,44,96,65,51,36,66,38,94.24777961,706.8583471,-74.0404434,40.6166763,740.6104736
18,,,,,,,,,,,,,,,,,,,,,,,,18,36,47,5400,1,3.6047E+11,Block Group 1,G5030,S,79806,0,40.6170658,-74.0382121,15000US360470054001,0.013588012,8.49287E-06,3824,15000US360470054001,163,-1,97,-1,3824,15000US360470054001,871,104,59,41,55,43,32,24,44,41,36,33,8,13,16,19,15,17,35,34,69,46,95,58,108,55,86,44,96,65,51,36,66,38,94.24777961,706.8583471,-74.0403214,40.6168137,731.4915771
19,,,,,,,,,,,,,,,,,,,,,,,,19,36,47,5601,1,3.6047E+11,Block Group 1,G5030,S,117261,0,40.6150045,-74.0376412,15000US360470056011,0.015338135,1.24786E-05,3828,15000US360470056011,85,-1,50,-1,3828,15000US360470056011,628,98,49,48,7,12,6,9,87,49,22,20,35,46,0,11,0,11,12,19,62,42,0,11,107,56,119,67,39,45,12,20,71,55,94.24777961,706.8583471,-74.0400925,40.615387,710.1447754
20,,,,,,,,,,,,,,,,,,,,,,,,20,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471,-74.0411911,40.6281281,1029.988648
21,,,,,,,,,,,,,,,,,,,,,,,,21,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,142,-1,89,-1,3814,15000US360470052011,881,78,164,64,88,38,52,36,22,22,23,27,13,17,14,18,30,36,10,14,42,28,58,40,109,55,84,53,48,36,60,41,64,34,94.24777961,706.8583471,-74.0404816,40.6207809,722.3745728
22,,,,,,,,,,,,,,,,,,,,,,,,22,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,55,-1,33,-1,3807,15000US360470050001,385,73,8,14,0,11,0,11,33,38,7,12,7,12,35,42,0,11,0,11,31,39,37,38,58,50,63,60,13,15,33,22,60,49,94.24777961,706.8583471,-74.0407867,40.6242332,778.326416
23,,,,,,,,,,,,,,,,,,,,,,,,23,36,47,5601,1,3.6047E+11,Block Group 1,G5030,S,117261,0,40.6150045,-74.0376412,15000US360470056011,0.015338135,1.24786E-05,3828,15000US360470056011,85,-1,50,-1,3828,15000US360470056011,628,98,49,48,7,12,6,9,87,49,22,20,35,46,0,11,0,11,12,19,62,42,0,11,107,56,119,67,39,45,12,20,71,55,94.24777961,706.8583471,-74.0399704,40.6154861,698.8977051
24,,,,,,,,,,,,,,,,,,,,,,,,24,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,55,-1,33,-1,3807,15000US360470050001,385,73,8,14,0,11,0,11,33,38,7,12,7,12,35,42,0,11,0,11,31,39,37,38,58,50,63,60,13,15,33,22,60,49,94.24777961,706.8583471,-74.0406418,40.6249657,797.2803345
25,,,,,,,,,,,,,,,,,,,,,,,,25,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,129,-1,55,-1,3801,15000US360470046001,448,60,6,11,3,10,2,10,24,27,4,12,16,14,27,28,3,10,4,10,28,32,27,27,85,43,40,38,16,15,77,35,85,45,94.24777961,706.8583471,-74.0406952,40.6257172,839.3897095
26,,,,,,,,,,,,,,,,,,,,,,,,26,36,47,4400,0,3.6047E+11,Block Group 0,G5030,S,0,817305,40.6330732,-74.0485191,15000US360470044000,0.039159214,7.36749E-05,3793,15000US360470044000,104,-1,37,-1,3793,15000US360470044000,220,31,0,11,6,12,6,12,0,11,0,11,5,10,12,15,4,10,2,9,19,22,24,20,21,18,18,16,18,18,34,19,52,25,94.24777961,706.8583471,-74.0410309,40.6298752,965.949585
27,,,,,,,,,,,,,,,,,,,,,,,,27,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,115,-1,72,-1,3814,15000US360470052011,715,70,148,52,80,36,20,20,28,29,11,16,11,14,22,28,19,24,3,10,46,37,37,32,77,52,52,51,28,24,59,38,76,46,94.24777961,706.8583471,-74.0403595,40.6226654,705.0820313
28,,,,,,,,,,,,,,,,,,,,,,,,28,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,115,-1,72,-1,3814,15000US360470052011,715,70,148,52,80,36,20,20,28,29,11,16,11,14,22,28,19,24,3,10,46,37,37,32,77,52,52,51,28,24,59,38,76,46,94.24777961,706.8583471,-74.0402985,40.6225395,698.6803589
29,,,,,,,,,,,,,,,,,,,,,,,,29,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471,-74.0402145,40.6216011,689.1694946
30,6/17/2013 0:00,20:30,BROOKLYN,11209,40.6191501,-74.0399651,"(40.6191501, -74.0399651)",SHORE ROAD,OLIVER STREET, ,Unspecified,Unspecified, , , ,142996,PASSENGER VEHICLE,BICYCLE, , , ,1,758,30,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,107,-1,65,-1,3816,15000US360470052021,726,94,52,42,18,20,56,46,14,18,30,38,12,15,9,16,16,24,40,36,78,56,80,50,102,52,91,51,26,26,37,30,66,34,94.24777961,706.8583471,-74.0399704,40.6191597,734.9035034
31,,,,,,,,,,,,,,,,,,,,,,,,31,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471,-74.040657,40.6266823,894.3724365
32,,,,,,,,,,,,,,,,,,,,,,,,32,36,47,4400,0,3.6047E+11,Block Group 0,G5030,S,0,817305,40.6330732,-74.0485191,15000US360470044000,0.039159214,7.36749E-05,3793,15000US360470044000,104,-1,37,-1,3793,15000US360470044000,220,31,0,11,6,12,6,12,0,11,0,11,5,10,12,15,4,10,2,9,19,22,24,20,21,18,18,16,18,18,34,19,52,25,94.24777961,706.8583471,-74.0409393,40.6301308,949.1272583
33,,,,,,,,,,,,,,,,,,,,,,,,33,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,115,-1,72,-1,3814,15000US360470052011,715,70,148,52,80,36,20,20,28,29,11,16,11,14,22,28,19,24,3,10,46,37,37,32,77,52,52,51,28,24,59,38,76,46,94.24777961,706.8583471,-74.0402298,40.6227341,695.1779785
34,,,,,,,,,,,,,,,,,,,,,,,,34,36,47,4400,0,3.6047E+11,Block Group 0,G5030,S,0,817305,40.6330732,-74.0485191,15000US360470044000,0.039159214,7.36749E-05,3793,15000US360470044000,104,-1,37,-1,3793,15000US360470044000,220,31,0,11,6,12,6,12,0,11,0,11,5,10,12,15,4,10,2,9,19,22,24,20,21,18,18,16,18,18,34,19,52,25,94.24777961,706.8583471,-74.0408859,40.6303101,939.0950928
35,,,,,,,,,,,,,,,,,,,,,,,,35,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471,-74.0405655,40.6269684,906.6521606
36,,,,,,,,,,,,,,,,,,,,,,,,36,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,115,-1,72,-1,3814,15000US360470052011,715,70,148,52,80,36,20,20,28,29,11,16,11,14,22,28,19,24,3,10,46,37,37,32,77,52,52,51,28,24,59,38,76,46,94.24777961,706.8583471,-74.0401306,40.6228638,688.2693481
37,,,,,,,,,,,,,,,,,,,,,,,,37,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.0407486,40.6295891,955.0323486
38,,,,,,,,,,,,,,,,,,,,,,,,38,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.0407562,40.6300926,936.2935791
39,,,,,,,,,,,,,,,,,,,,,,,,39,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.0407562,40.6300926,936.2935791
40,,,,,,,,,,,,,,,,,,,,,,,,40,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471,-74.0404434,40.6271782,913.3358154
41,,,,,,,,,,,,,,,,,,,,,,,,41,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.040657,40.6300697,928.7949219
42,,,,,,,,,,,,,,,,,,,,,,,,42,36,47,5202,2,3.6047E+11,Block Group 2,G5030,S,83445,0,40.6188883,-74.0384036,15000US360470052022,0.0157697,8.88044E-06,3817,15000US360470052022,105,-1,62,-1,3817,15000US360470052022,736,100,62,45,20,23,46,49,8,13,29,41,12,13,0,11,8,12,66,54,135,91,80,48,83,48,53,38,0,11,39,32,95,44,94.24777961,706.8583471,-74.0395889,40.6185226,718.9938965
43,,,,,,,,,,,,,,,,,,,,,,,,43,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.040596,40.6300545,924.225769
44,,,,,,,,,,,,,,,,,,,,,,,,44,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.040596,40.6300545,924.225769
45,,,,,,,,,,,,,,,,,,,,,,,,45,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,107,-1,60,-1,3814,15000US360470052011,605,70,101,38,62,30,13,17,18,23,7,14,10,14,17,23,31,32,2,10,33,29,49,40,57,42,51,46,29,25,67,42,58,38,94.24777961,706.8583471,-74.0399628,40.6232719,682.3280029
46,,,,,,,,,,,,,,,,,,,,,,,,46,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.0404892,40.6300392,916.7393188
47,,,,,,,,,,,,,,,,,,,,,,,,47,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.0404358,40.6301231,909.1427002
48,,,,,,,,,,,,,,,,,,,,,,,,48,36,47,5202,2,3.6047E+11,Block Group 2,G5030,S,83445,0,40.6188883,-74.0384036,15000US360470052022,0.0157697,8.88044E-06,3817,15000US360470052022,134,-1,80,-1,3817,15000US360470052022,804,102,60,43,38,33,39,36,26,27,32,37,10,13,8,15,12,14,50,44,102,68,88,53,96,52,70,41,48,38,45,34,80,41,94.24777961,706.8583471,-74.0391846,40.6178551,661.2333374
49,,,,,,,,,,,,,,,,,,,,,,,,49,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.0402603,40.6296654,913.2640991
50,,,,,,,,,,,,,,,,,,,,,,,,50,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,73,-1,35,-1,3807,15000US360470050001,386,71,8,12,12,15,0,11,16,24,4,12,8,12,21,26,27,30,0,11,19,26,56,46,38,36,56,48,23,22,58,36,42,36,94.24777961,706.8583471,-74.0396805,40.6239738,680.2697754
51,,,,,,,,,,,,,,,,,,,,,,,,51,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.0401459,40.6296234,906.319458
52,,,,,,,,,,,,,,,,,,,,,,,,52,36,47,5601,1,3.6047E+11,Block Group 1,G5030,S,117261,0,40.6150045,-74.0376412,15000US360470056011,0.015338135,1.24786E-05,3828,15000US360470056011,85,-1,50,-1,3828,15000US360470056011,628,98,49,48,7,12,6,9,87,49,22,20,35,46,0,11,0,11,12,19,62,42,0,11,107,56,119,67,39,45,12,20,71,55,94.24777961,706.8583471,-74.0386353,40.6134377,649.031189
53,,,,,,,,,,,,,,,,,,,,,,,,53,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471,-74.0399551,40.6279945,942.8218994
54,,,,,,,,,,,,,,,,,,,,,,,,54,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.040123,40.6302338,880.0078735
55,,,,,,,,,,,,,,,,,,,,,,,,55,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471,-74.0393906,40.6223335,619.4230347
56,,,,,,,,,,,,,,,,,,,,,,,,56,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471,-74.0401001,40.630661,863.5803833
57,,,,,,,,,,,,,,,,,,,,,,,,57,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,205,-1,76,-1,3801,15000US360470046001,476,48,2,10,9,11,8,10,8,14,0,11,18,14,22,17,6,9,6,8,32,28,32,22,77,30,26,18,28,20,94,38,108,40,94.24777961,706.8583471,-74.0398941,40.6287422,930.4859619
58,,,,,,,,,,,,,,,,,,,,,,,,58,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471,-74.0396652,40.6264267,809.5445557
